Nome Do Pregão,Código,Denominação Social,Segmento De Mercado,Tipo De Capital,Capital R$,Aprovado Em,Qtde Ações Ordinárias,Qtde Ações Preferenciais,Qtde Total De Ações,CNPJ,Código CVM,Ticker,Atividade Principal,Setor Econômico,Subsetor Econômico,Segmento Econômico,Site,Url
RUMO S.A.,RAIL,RUMO S.A.,NOVO MERCADO,Homologado,12547841824.28,27/04/2021,1854158791,0,1854158791,02.387.241/0001-60,17450,RAIL3.SA,Prestar serviços de transporte de cargas através dos modais ferroviário e rodoviário. dentre outros. isoladamente ou combinados entre si de forma intermodal ou multimodal. entre outros.,Bens Industriais,Transporte,Transporte Ferroviário,www.rumolog.com,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/17450/RAIL/overview?language=pt-br
SANTOS BRP,STBP,SANTOS BRASIL PARTICIPACOES S.A.,NOVO MERCADO,Homologado,1873906337.66,21/10/2021,862830552,0,862830552,02.762.121/0001-04,17892,STBP3.SA,A Companhia tem por objeto a exploração portuária através de operações com contêineres. carga geral. veículos. granéis ou afins. operações de logística integrada e a participação em outras sociedades.,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,www.santosbrasil.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/17892/STBP/overview?language=pt-br
TEGMA,TGMA,TEGMA GESTAO LOGISTICA S.A.,NOVO MERCADO,Homologado,318524163.57,30/04/2020,66002915,0,66002915,02.351.144/0001-18,20800,TGMA3.SA,Prestação de serviços de logística para a indústria automotiva. química e de bens de consumo. como o transporte. gerenciamento de estoques e pátios. atividades de armazém geral. PDI. dentre outras.,Bens Industriais,Transporte,Transporte Rodoviário,www.tegma.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20800/TGMA/overview?language=pt-br
TRIUNFO PART,TPIS,TPI - TRIUNFO PARTICIP. E INVEST. S.A.,NOVO MERCADO,Homologado,842979226.55,13/08/2013,176000000,0,176000000,03.014.553/0001-91,19330,TPIS3.SA,A Triunfo atua nos segmentos de concessões rodoviárias. aeroportuária. geração de energia e administração portuária.,Bens Industriais,Transporte,Exploração de Rodovias,www.triunfo.com,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/19330/TPIS/overview?language=pt-br
TUPY,TUPY,TUPY S.A.,NOVO MERCADO,Homologado,1060300760.04,30/10/2013,144177500,0,144177500,84.683.374/0001-49,6343,TUPY3.SA,Produtos fundidos para os setores de transporte de carga. infraestrutura e agricultura / conexões em ferro fundido para aplicações em redes hidráulicas e de gás / perfis,Bens Industriais,Material de Transporte,Material Rodoviário,www.tupy.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/6343/TUPY/overview?language=pt-br
VALID,VLID,VALID SOLUÇÕES S.A.,NOVO MERCADO,Homologado,1023028320.16,09/03/2022,82475442,0,82475442,33.113.309/0001-47,20028,VLID3.SA,Impressão de Documentos de Segurança.,Bens Industriais,Serviços,Serviços Diversos,www.valid.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20028/VLID/overview?language=pt-br
WEG,WEGE,WEG S.A.,NOVO MERCADO,Homologado,6504516508.0,26/04/2022,4197317998,0,4197317998,84.429.695/0001-11,5410,WEGE3.SA,A WEG SA é uma sociedade de participação não operacional (holding) e também sociedade de comando do Grupo WEG.,Bens Industriais,Máquinas e Equipamentos,Motores . Compressores e Outros,www.weg.net/br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/5410/WEGE/overview?language=pt-br
TIM,TIMS,TIM S.A.,NOVO MERCADO,Homologado,13477890507.55,28/09/2020,2420804398,0,2420804398,02.421.421/0001-11,24929,TIMS3.SA,,Comunicações,Telecomunicações,Telecomunicações,,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/24929/TIMS/overview?language=pt-br
AMERICANAS,AMER,AMERICANAS S.A,NOVO MERCADO,Homologado,15385586104.11,25/04/2022,907116900,0,907116900,00.776.574/0001-56,20990,AMER3.SA,Comércio varejista e atacadista em geral de quaisquer bens e serviços por meio de diversos meios. em especial. da Internet e de lojas físicas. sem restrição a outros meios.,Consumo Cíclico,Comércio,Produtos Diversos,http://www.b2wdigital.com,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20990/AMER/overview?language=pt-br
ANIMA,ANIM,ANIMA HOLDING S.A.,NOVO MERCADO,Homologado,2569624313.76,18/02/2021,403868805,0,403868805,09.288.252/0001-32,23248,ANIM3.SA,Administração. direta ou indireta. de atividade de instituições de 3º e 4º graus. educação profissional.,Consumo Cíclico,Diversos,Serviços Educacionais,www.animaeducacao.com.br/ri,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/23248/ANIM/overview?language=pt-br
AREZZO CO,ARZZ,AREZZO INDÚSTRIA E COMÉRCIO S.A.,NOVO MERCADO,Homologado,1645467316.61,03/02/2022,109796219,0,109796219,16.590.234/0001-76,22349,ARZZ3.SA,O principal ramo de atividade da Companhia é a industrialização e a comercialização de artigos de couro e de plástico em geral. incluindo sapatos. bolsas e acessórios.,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,www.arezzoco.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/22349/ARZZ/overview?language=pt-br
COGNA ON,COGN,COGNA EDUCAÇÃO S.A.,NOVO MERCADO,Homologado,7667615402.9,11/02/2020,1876606210,0,1876606210,02.800.026/0001-40,17973,COGN3.SA,A Companhia tem por objeto a participação. como sócia ou acionista. em sociedades que explorem a administração de atividades de educação.,Consumo Cíclico,Diversos,Serviços Educacionais,www.kroton.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/17973/COGN/overview?language=pt-br
TENDA,TEND,CONSTRUTORA TENDA S.A.,NOVO MERCADO,Homologado,1095829378.49,25/03/2019,104344246,0,104344246,71.476.527/0001-35,21148,TEND3.SA,,Consumo Cíclico,Construção Civil,Incorporações,www.tenda.com,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/21148/TEND/overview?language=pt-br
CVC BRASIL,CVCB,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,NOVO MERCADO,Homologado,1371723418.25,31/08/2021,224934809,0,224934809,10.760.260/0001-19,23310,CVCB3.SA,Serviços de turismo. compreendendo a intermediação. individualmente ou na forma agregada. de passagens aéreas. transporte terrestre. reservas de hotéis. passagens de cruzeiros marítimos. entre outros.,Consumo Cíclico,Viagens e Lazer,Viagens e Turismo,http://www.cvc.com.br/ri,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/23310/CVCB/overview?language=pt-br
CYRELA REALT,CYRE,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,NOVO MERCADO,Homologado,3395744524.6,28/04/2016,399742799,0,399742799,73.178.600/0001-18,14460,CYRE3.SA,Incorporação Imobiliária,Consumo Cíclico,Construção Civil,Incorporações,www.cyrela.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/14460/CYRE/overview?language=pt-br
DIRECIONAL,DIRR,DIRECIONAL ENGENHARIA S.A.,NOVO MERCADO,Homologado,752982399.8,10/05/2021,150000000,0,150000000,16.614.075/0001-00,21350,DIRR3.SA,Incorporação. construção e comercialização de imóveis próprios ou de terceiros e prestação de serviços de engenharia.,Consumo Cíclico,Construção Civil,Incorporações,www.direcional.com.br/ri,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/21350/DIRR/overview?language=pt-br
EVEN,EVEN,EVEN CONSTRUTORA E INCORPORADORA S.A.,NOVO MERCADO,Homologado,1657409998.31,28/04/2021,212000000,0,212000000,43.470.988/0001-65,20524,EVEN3.SA,Construção. incorporação e loteamento.,Consumo Cíclico,Construção Civil,Incorporações,http://www.even.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20524/EVEN/overview?language=pt-br
